timestamp,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,RShoulderPitch,RShoulderRoll,LElbowRoll,RElbowRoll,LHand,RHand
1758900308.709,11,-31,77.56644098219942,88.68124090836758,70,-121.79979770066072,-2.0,88.5,0.0,0.0
1758900308.805,11.0,-31.400000000000002,77.69800275780975,88.8534174584393,70.0,-122.30545831449439,-2.0,88.5,0.0,0.0
1758900308.904,11.600000000000001,-31.120000000000005,79.51334720549161,86.48211682410921,70.0,-123.28743769679487,-2.0,88.5,0.0,0.0
1758900308.996,12.080000000000002,-31.496000000000006,77.85076808993651,89.65463323197119,70.0,-126.16667822823817,-2.0,88.5,0.0,0.0
1758900309.087,12.464000000000002,-31.59680000000001,73.80063103002732,95.49693103743414,70.0,-128.46870293470386,-2.0,88.5,0.0,0.0
1758900309.203,13.571200000000003,-31.47744000000001,73.280498502646,96.79716868466674,70.0,-130.3109943518511,-2.0,88.5,0.0,0.0
1758900309.303,14.656960000000003,-30.98195200000001,74.56359831630871,95.51527813576078,70.0,-131.5909791420031,-2.0,88.5,0.0,0.0
1758900309.403,15.525568000000003,-30.58556160000001,77.48028942626394,91.87932448407622,70.0,-132.33327893712124,-2.0,88.5,0.0,0.0
1758900309.518,16.620454400000003,-30.26844928000001,79.89061201432894,87.81070287954772,70.0,-132.97657094489568,-2.0,88.5,0.0,0.0
1758900309.636,17.496363520000003,-30.014759424000008,81.59991952253624,85.18952034723767,70.0,-131.30209356616126,-2.0,88.5,0.0,0.0
1758900309.736,18.197090816000003,-30.011807539200007,81.22928941008703,85.63733930491786,65.1751347788311,-131.02508326073328,-2.0,88.5,0.0,0.0
1758900309.847,18.957672652800003,-29.809446031360007,77.97116333434828,90.77428478813944,62.36724122830766,-128.4949251512374,-2.0,88.5,0.0,0.0
1758900310.016,19.366138122240002,-29.847556825088006,76.37693066747863,99.16494198435217,63.89379298264613,-127.2101996411407,-2.0,88.5,0.0,0.0
1758900310.162,19.292910497792004,-30.078045460070406,72.81804882883638,103.60805784117167,65.11503438611692,-126.14685189583119,-2.0,88.5,0.0,0.0
1758900310.41,19.434328398233603,-30.062436368056325,67.84096120565448,108.99683746793055,66.09202750889354,-127.17871100068571,-2.0,88.5,0.0,0.0
1758900310.619,19.147462718586883,-29.849949094445062,66.3550118776912,111.8905362057608,66.87362200711483,-127.87189622187987,-2.0,88.5,0.0,0.0
1758900310.827,19.317970174869508,-30.07995927555605,65.99925438060856,112.4528853598122,67.49889760569187,-128.4195607111512,-2.0,88.5,0.0,0.0
1758900310.968,19.25437613989561,-29.86396742044484,66.77843266599223,111.37567114335636,67.99911808455349,-127.62174116259794,-2.0,88.5,0.0,0.0
1758900311.08,19.00350091191649,-29.891173936355873,67.92084420678033,109.10910235769313,68.39929446764279,-126.40765989992526,-2.0,88.5,0.0,0.0
1758900311.189,19.00280072953319,-29.7129391490847,68.40081772241535,107.48110453685734,64.73245931458202,-124.77958640221667,-2.0,88.5,0.0,0.0
1758900311.342,19.002240583626556,-29.97035131926776,71.21603690927607,101.7634375039412,65.78596745166561,-124.04930684405562,-2.0,88.5,0.0,0.0
1758900311.456,19.001792466901247,-30.176281055414208,73.7212470814265,97.09871628265422,66.62877396133248,-124.54812913868454,-2.0,88.5,0.0,0.0
1758900311.599,18.801433973521,-30.34102484433137,74.8153374902448,95.08680873414757,67.30301916906599,-124.9523298047539,-2.0,88.5,0.0,0.0
1758900311.7,18.4411471788168,-31.072819875465097,76.78911591907334,91.86650888184087,67.8424153352528,-126.69673065386048,-2.0,88.5,0.0,0.0
1758900311.827,18.552917743053438,-31.85825590037208,77.84783746667019,89.97872581711701,68.27393226820223,-127.96242847127952,-2.0,88.5,0.0,0.0
1758900311.942,18.24233419444275,-32.686604720297666,79.0225210741862,88.32496845121952,68.61914581456179,-129.21848915139478,-2.0,88.5,0.0,0.0
1758900312.026,18.393867355554203,-33.34928377623814,78.94554611690485,88.38493313910476,68.89531665164944,-129.88028061931595,-2.0,88.5,0.0,0.0
1758900312.133,17.515093884443363,-33.679427020990516,80.49580076391769,84.70362042245759,69.11625332131956,-129.58376653087853,-2.0,88.5,0.0,0.0
1758900312.226,17.212075107554693,-33.74354161679241,80.30308875515972,83.77391475395315,69.29300265705565,-128.8161621793709,-2.0,88.5,0.0,0.0
1758900312.374,16.969660086043756,-33.79483329343393,77.59126861395544,88.09561737381006,69.43440212564452,-126.78428488951545,-2.0,88.5,0.0,0.0
1758900312.467,16.575728068835005,-33.635866634747146,77.134109826185,87.99613499924116,69.54752170051563,-125.27306614478586,-2.0,88.5,0.0,0.0
1758900312.589,15.660582455068004,-33.50869330779772,76.47622000108166,89.83223692129006,69.6380173604125,-125.22979483889384,-2.0,88.5,0.0,0.0
1758900312.755,15.728465964054404,-33.20695464623818,74.09681908634873,93.80945879803303,69.71041388833001,-125.63277456996187,-2.0,88.5,0.0,0.0
1758900312.963,16.182772771243524,-32.965563716990545,65.91303188921097,104.29585046788421,69.76833111066401,-125.8521714829667,-2.0,88.5,0.0,0.0
1758900313.177,16.54621821699482,-32.372450973592436,65.56562630853539,105.8236012503821,69.81466488853121,-126.31673462529139,-2.0,88.5,0.0,0.0
1758900313.289,16.836974573595857,-32.097960778873954,64.226881631213,108.27256802144535,69.85173191082498,-126.6275042931132,-2.0,88.5,0.0,0.0
1758900313.374,17.269579658876687,-32.078368623099166,64.54257850042394,107.88492078775914,69.88138552865999,-127.03521540342324,-2.0,88.5,0.0,0.0
1758900313.493,17.21566372710135,-31.662694898479334,66.08704742912724,105.93314301636592,69.905108422928,-127.66245552000362,-2.0,88.5,0.0,0.0
1758900313.596,17.37253098168108,-30.93015591878347,66.85627065718968,105.46121509876873,69.9240867383424,-127.13536416294923,-2.0,88.5,0.0,0.0
1758900313.701,17.098024785344865,-30.944124735026776,66.7583838322749,105.92587356169325,69.93926939067393,-125.88507955932268,-2.0,88.5,0.0,0.0
1758900313.792,17.478419828275893,-30.555299788021422,66.30039051275523,106.0934878612255,69.95141551253914,-124.33072213070045,-2.0,88.5,0.0,0.0
1758900313.883,17.782735862620715,-30.24423983041714,66.5239175051896,105.68907389534907,69.96113241003133,-122.89882695546348,-2.0,88.5,0.0,0.0
1758900313.974,17.826188690096572,-30.195391864333715,67.54284849728748,103.84081713927586,69.96890592802507,-121.82705585167948,-2.0,88.5,0.0,0.0
1758900314.132,17.660950952077258,-29.956313491466975,70.09651888303385,99.8079882010882,69.97512474242006,-120.98258804044573,-2.0,88.5,0.0,0.0
1758900314.241,17.32876076166181,-29.765050793173582,72.83600972440547,94.24760418003649,69.98009979393606,-119.1639359915298,-2.0,88.5,0.0,0.0
1758900314.348,17.263008609329447,-29.812040634538867,73.89889485176346,92.5272099969838,69.98407983514886,-118.15551183120273,-2.0,88.5,0.0,0.0
1758900314.491,17.010406887463557,-29.449632507631097,74.65090155922165,91.1913979520726,69.9872638681191,-117.70524538231864,-2.0,88.5,0.0,0.0
1758900314.591,16.608325509970847,-29.35970600610488,75.23682320868609,89.90712884953513,69.98981109449528,-117.43619648286328,-2.0,88.5,0.0,0.0
1758900314.675,16.686660407976678,-29.687764804883905,75.01173402088294,90.33770279002654,69.99184887559622,-117.34764575740684,-2.0,88.5,0.0,0.0
1758900314.778,16.749328326381345,-30.150211843907122,74.2275482918563,91.93589779737832,69.99347910047697,-117.57876791400801,-2.0,88.5,0.0,0.0
1758900314.876,16.599462661105076,-29.9201694751257,74.92230821502788,90.58530246159091,69.99478328038158,-117.69627326075187,-2.0,88.5,0.0,0.0
1758900314.988,16.67957012888406,-30.13613558010056,75.10933433023696,90.34742412638616,69.99582662430527,-118.06747003798449,-2.0,88.5,0.0,0.0
1758900315.086,16.143656103107247,-29.90890846408045,73.55241468250888,93.52419571240083,69.99666129944421,-119.6554470021662,-2.0,88.5,0.0,0.0
1758900315.181,15.7149248824858,-30.12712677126436,72.48232501065475,95.50604175874265,69.99732903955538,-121.17378083524049,-2.0,88.5,0.0,0.0
1758900315.281,14.971939905988641,-30.10170141701149,68.1355368422278,101.00915329920497,69.99786323164432,-122.27121995543246,-2.0,88.5,0.0,0.0
1758900315.405,14.977551924790914,-30.28136113360919,66.82134853300352,104.74428659668808,69.99829058531546,-121.8444056366005,-2.0,88.5,0.0,0.0
1758900315.514,14.182041539832731,-30.825088906887355,67.47772184795286,104.63687027511506,69.99863246825237,-121.92740774258053,-2.0,88.5,0.0,0.0
1758900315.623,13.545633231866187,-30.660071125509887,64.22858847178092,109.86605658374026,69.9989059746019,-121.65768980078555,-2.0,88.5,0.0,0.0
1758900315.715,13.23650658549295,-30.52805690040791,65.38287077742474,115.12654578612724,69.99912477968152,-122.57437268235556,-2.0,88.5,0.0,0.0
1758900315.817,12.789205268394362,-30.822445520326333,59.63013959051078,119.80186955502779,69.99929982374522,-122.85322526529018,-2.0,88.5,0.0,0.0
1758900315.911,13.031364214715492,-30.25795641626107,59.02663915511564,121.02400035410437,69.99943985899617,-123.16420537388588,-2.0,88.5,0.0,0.0
1758900316.026,13.425091371772394,-29.80636513300886,62.28510175235167,115.10782389698085,69.99955188719693,-123.48215929492079,-2.0,88.5,0.0,0.0
1758900316.118,14.140073097417917,-29.445092106407092,64.81273925811814,110.51233415460844,69.99964150975754,-123.78131411933892,-2.0,88.5,0.0,0.0
1758900316.255,14.112058477934335,-29.156073685125676,67.49685216351352,105.85574447779027,69.99971320780602,-123.09357082144403,-2.0,88.5,0.0,0.0
1758900316.387,14.489646782347467,-29.32485894810054,68.8381135026357,103.24925988945188,69.99977056624482,-122.58539354398408,-2.0,88.5,0.0,0.0
1758900316.481,14.591717425877974,-29.259887158480435,70.20279406110838,100.59297274199952,69.99981645299586,-121.80061960651491,-2.0,88.5,0.0,0.0
