timestamp,LShoulderRoll,LHipPitch,LHand,HeadYaw,RHipPitch,HeadPitch,RHand,RShoulderPitch,LShoulderPitch,RShoulderRoll,LKneePitch,RKneePitch,HipYawPitch
1757351805.739,18.48957927465926,,1.0,-9,,-7,0.0,75.81827488664788,78.0357417886884,-25.950349906744,,,
1757351806.777,17.798105320276804,,1.0,-4.971025920000002,,-7.3502361600000015,1.0,80.43111235243067,85.9809763458473,-20.36435259386112,,,
1757351807.714,13.536198518973885,,1.0,-5.9048612950179855,,-12.998621046341635,1.0,80.40466084885023,87.91470177681474,-18.895318156669113,,,
1757351808.51,9.160093372692815,,1.0,-4.517203959321195,,-11.681494515572187,1.0,82.70127218994696,80.652530472911,-21.39295990306546,,,
1757351809.344,7.726068878932498,,1.0,-2.51251739339037,,-9.776272122862697,1.0,83.19987019072018,75.61213992207765,-21.744304271329305,,,
1757351810.279,11.349901601550787,,1.0,-2.398341699466157,,-9.254368849219652,1.0,85.47812694790886,75.64845033023418,-19.05407945555737,,,
1757351811.149,18.096846641673437,,1.0,-2.1548486080810707,,-8.780951584512298,1.0,83.97244033061158,78.3273769117377,-17.27572401449063,,,
1757351811.899,14.719106880572006,,1.0,-0.9123366335168044,,-8.004721772170392,1.0,85.24963509108501,79.03392403899892,-18.646367602079117,,,
1757351812.797,8.46375785141016,,1.0,-1.981935659565304,,-7.698705427395071,1.0,86.94858849119646,81.04340974662495,-19.54174285867595,,,
1757351813.664,8.938405592062724,,1.0,-2.3804164332328703,,-9.105069948447245,1.0,86.53736757546723,83.7324977351546,-15.001193002880559,,,
1757351814.543,10.139766503367282,,1.0,-1.8123348568417472,,-9.706749320707196,1.0,86.40162901802088,83.78949427287077,-17.068671675375615,,,
1757351815.305,8.619445031053118,,1.0,-2.658505885889904,,-9.113507617409335,1.0,81.19439446300494,86.07419335765212,-17.740012306646822,,,
1757351816.054,6.437442560028432,,1.0,-6.336911366950725,,-8.291899340858153,1.0,79.74700063702707,86.21666735660583,-14.196592590254529,,,
1757351816.836,8.458934605238733,,1.0,-9.412351293377931,,-9.10883966080992,1.0,86.18734921234511,80.64965837321859,-11.439016313963318,,,
1757351817.67,10.49716551940783,,1.0,-8.178623417451266,,-10.016243664043357,1.0,86.47382443674664,83.88424840633952,-12.917315047424731,,,
1757351818.468,9.041826374220195,,1.0,-4.754857057144346,,-10.582114179066984,1.0,86.84655340193387,81.05690985923592,-16.130367145074334,,,
1757351819.333,7.509253604430867,,1.0,-3.2400201987104387,,-9.974506991485871,1.0,88.34744040417354,83.26758409256828,-17.167414222632164,,,
1757351820.083,7.747465595491624,,1.0,-2.3250638549707494,,-9.455461160776075,1.0,88.42714657671388,83.87112913326,-18.486082092270507,,,
1757351820.902,7.733467712672782,,1.0,-1.405886031357962,,-9.517865928424388,1.0,87.0454840300327,83.7693827812392,-18.211038400000604,,,
1757351821.733,8.21531946055566,,1.0,-2.056800587804302,,-9.808075445940883,1.0,86.8940107715512,85.34671426054287,-16.819870321600888,,,
1757351822.548,8.265878390331753,,1.0,-2.6909324166117146,,-10.019030162125908,1.0,88.60046136388662,83.91784766263895,-14.237989025242431,,,
1757351823.296,8.81176753116415,,1.0,-2.981443787420262,,-10.292988642820337,1.0,87.65505135459178,86.01577113874525,-13.338802314970902,,,
1757351824.128,9.181426511276193,,1.0,-3.196108480167598,,-10.311300171826797,1.0,86.75354823379868,86.33639256670261,-14.163160877781683,,,
1757351824.942,9.67953811580388,,1.0,-2.9988646614250554,,-10.819461472243368,1.0,84.15732419296327,88.01377023541379,-16.425475285142625,,,
1757351825.796,8.708621954583318,,1.0,-1.85199037780461,,-10.850272908179768,1.0,82.11773915712405,88.44518082809958,-16.619505002841,,,
