timestamp,HeadYaw,HeadPitch,LShoulderPitch,LShoulderRoll,RShoulderPitch,RShoulderRoll,LElbowRoll,RElbowRoll,LHand,RHand
1757428316.059,-10,-6,83.29040095962313,14.349784178097039,78.02153506268147,-18.92036472905811,-2.0,88.5,1.0,0.0
1757428316.146,-9.4,-5.800000000000001,84.02985756104607,14.666104820251222,78.7061219997994,-19.17818481462946,-2.0,88.5,1.0,0.0
1757428316.308,-8.72,-5.840000000000001,84.37177284587176,15.254539235428975,79.17858720063084,-19.096953538276974,-2.0,88.5,1.0,1.0
1757428316.455,-7.5760000000000005,-5.872000000000001,84.96260907905307,16.14964790195052,80.21183642548826,-19.028489339054932,-2.0,88.5,1.0,1.0
1757428316.604,-6.460800000000001,-6.097600000000001,85.7410893932265,16.672086256106937,80.82756044985463,-18.80429889156382,-2.0,88.5,1.0,1.0
1757428316.845,-5.568640000000001,-6.47808,86.2255766547462,16.998168112003295,80.80564386024353,-18.816604414889937,-2.0,88.5,1.0,1.0
1757428316.97,-5.054912000000002,-7.182464,86.9025531006211,16.98315444449776,80.82989922449015,-18.962794830187793,-2.0,88.5,1.0,1.0
1757428317.099,-4.4439296000000015,-7.945971200000001,87.27048278779253,17.214725282627796,80.64509101441065,-19.44586719248713,-2.0,88.5,1.0,1.0
1757428317.233,-4.355143680000001,-8.956776960000001,87.32181825507351,17.311319988001557,80.23553265725786,-19.505674510532458,-2.0,88.5,1.0,1.0
1757428317.359,-5.084114944000001,-9.965421568000002,87.42326186849594,16.70282582089472,80.1944654700702,-19.292383947901556,-2.0,88.5,1.0,1.0
1757428317.49,-5.067291955200001,-10.772337254400002,87.28573412641708,15.95247844445276,80.30729293316278,-19.119096544957415,-2.0,88.5,1.0,1.0
1757428317.623,-5.253833564160001,-11.81786980352,87.53304336618005,15.226550441725063,80.28372799586197,-19.135868679908853,-2.0,88.5,1.0,1.0
1757428317.764,-5.403066851328001,-12.454295842816,87.95311766046103,14.326209287478083,80.24087694901714,-18.87427194186336,-2.0,88.5,1.0,1.0
1757428317.898,-5.922453481062401,-12.9634366742528,88.10797043025747,13.365290933069709,80.48829251748154,-18.601390189948813,-2.0,88.5,1.0,1.0
1757428318.029,-5.7379627848499215,-13.170749339402242,87.08208455380344,12.131863927998843,80.47099448059554,-18.73009114276943,-2.0,88.5,1.0,1.0
1757428318.158,-5.590370227879937,-13.336599471521795,85.061343753415,11.230698171408443,81.03900853743224,-20.81695760702827,-2.0,88.5,1.0,1.0
1757428318.351,-5.47229618230395,-13.469279577217439,83.90696989803963,10.45527418582519,81.48384087237761,-21.122311732841908,-2.0,88.5,1.0,1.0
1757428318.472,-5.37783694584316,-13.175423661773952,82.88266993795884,9.948417556496393,82.00068807913146,-21.192828420972788,-2.0,88.5,1.0,1.0
1757428318.606,-4.902269556674527,-12.340338929419163,81.85297550634345,9.528932711672937,82.43893958899642,-21.358665075177626,-2.0,88.5,1.0,1.0
1757428318.744,-4.521815645339622,-11.672271143535331,80.7031946907991,9.11529097449355,82.72319573008863,-21.31590845015753,-2.0,88.5,1.0,1.0
1757428318.88,-3.8174525162716977,-11.137816914828266,79.87459096646425,8.739150125470374,83.07379067690437,-20.96324121173374,-2.0,88.5,1.0,1.0
1757428319.015,-3.2539620130173583,-10.510253531862613,79.00393372109997,8.34607151921405,83.21071173757377,-20.829963059861775,-2.0,88.5,1.0,1.0
1757428319.159,-2.803169610413887,-10.208202825490092,77.85266318477743,8.013028115368376,83.26123538591945,-20.8708561932254,-2.0,88.5,1.0,1.0
1757428319.293,-2.6425356883311095,-9.966562260392076,76.53820985167172,7.843922447492634,83.23977992566108,-21.794313457417598,-2.0,88.5,1.0,1.0
1757428319.473,-2.5140285506648876,-9.773249808313661,75.62874157299521,7.711388029090562,83.20705409635381,-21.719056051240436,-2.0,88.5,1.0,1.0
1757428319.612,-2.4112228405319103,-9.61859984665093,75.12463543320371,7.568851167556301,83.19885447051368,-21.118126132937835,-2.0,88.5,1.0,1.0
1757428319.779,-2.5289782724255283,-9.494879877320745,74.81337309353046,7.695234083194661,83.22804231636516,-20.686359535818966,-2.0,88.5,1.0,1.0
1757428319.923,-2.6231826179404227,-9.395903901856597,74.6420595217776,8.330973050231504,83.94553924404829,-19.969281772118364,-2.0,88.5,1.0,1.0
1757428320.076,-2.498546094352338,-9.316723121485278,74.70152184323094,9.510219521842146,84.96649057162466,-19.34560522445973,-2.0,88.5,1.0,1.0
1757428320.221,-2.3988368754818707,-9.253378497188223,75.65389035920687,11.34509098067458,85.4804809701069,-19.045806118798644,-2.0,88.5,1.0,1.0
1757428320.358,-2.5190695003854966,-9.202702797750579,77.11919392020013,13.293850435578765,85.87819544811529,-18.718343716444156,-2.0,88.5,1.0,1.0
1757428320.513,-2.6152556003083975,-8.962162238200463,78.27172307927846,15.092986142087103,86.52741548833954,-18.62552803204414,-2.0,88.5,1.0,1.0
1757428320.655,-2.492204480246718,-8.969729790560372,78.69864930553096,16.470301092305412,86.12761337887902,-18.3341627378032,-2.0,88.5,1.0,1.0
1757428320.789,-2.1937635841973746,-8.975783832448299,78.8430897284209,17.67469792767067,84.91247629372575,-17.768701634132448,-2.0,88.5,1.0,1.0
1757428320.981,-2.1550108673578996,-8.780627065958639,78.32915950043146,18.095270297424726,83.97321169660542,-17.273013007501532,-2.0,88.5,1.0,1.0
1757428321.144,-1.9240086938863197,-8.624501652766911,77.65741581868204,17.970213538965535,83.44579893311672,-16.95911286585715,-2.0,88.5,1.0,1.0
